target,R2,MAE,RMSE
CETR,0.9899924382434122,0.016333937110354527,0.022529459800443154
GETR,0.9748453419804735,0.015537807840343008,0.021483182455871885
TSTA,0.9404730299272085,0.037350775641703825,0.06715688401336797
TSDA,0.9366018177604201,0.03969575712741081,0.07030189243111948
