target,R2,MAE,RMSE
CETR,0.9899316320512439,0.015695226433054557,0.022208418138123753
GETR,0.9719446943562541,0.01532257416711421,0.022302863051555714
TSTA,0.9220104050213743,0.03765104156430452,0.076234287887101
TSDA,0.9185246168098089,0.03973947943181529,0.0792518645551756
