target,R2,MAE,RMSE
CETR,0.9736071822665314,0.028041339268231123,0.03658722898219583
GETR,0.8785872739026883,0.030970192367032415,0.04719777368116586
TSTA,0.5140416220320703,0.12515877781773202,0.19188153560955049
TSDA,0.5357913730239958,0.12349042194163772,0.19023271949209103
