iter	Passed	Remaining
406	6792	6559
407	6811	6543
408	6825	6525
409	6844	6510
410	6856	6489
411	6870	6469
412	6886	6452
413	6901	6435
414	6918	6418
415	6935	6401
416	6953	6386
417	6975	6374
418	6991	6357
419	7006	6338
420	7020	6320
421	7038	6304
422	7057	6290
423	7075	6274
424	7089	6255
425	7108	6240
426	7122	6222
427	7139	6205
428	7157	6190
429	7174	6173
430	7189	6155
431	7208	6140
432	7225	6124
433	7244	6109
434	7260	6092
435	7277	6075
436	7293	6058
437	7305	6038
438	7319	6019
439	7333	6000
440	7349	5983
441	7365	5966
442	7382	5948
443	7398	5931
444	7412	5913
445	7428	5895
446	7447	5881
447	7465	5865
448	7483	5850
449	7502	5835
450	7522	5821
451	7538	5803
452	7557	5789
453	7573	5771
454	7587	5753
455	7602	5735
456	7619	5718
457	7634	5700
458	7650	5684
459	7668	5668
460	7683	5649
461	7697	5631
462	7712	5613
463	7727	5595
464	7743	5578
465	7758	5560
466	7772	5542
467	7791	5527
468	7807	5510
469	7821	5492
470	7843	5479
471	7863	5464
472	7879	5447
473	7893	5428
474	7907	5410
475	7922	5392
476	7936	5374
477	7951	5356
478	7971	5342
479	7987	5325
480	8003	5307
481	8017	5289
482	8031	5271
483	8045	5253
484	8059	5234
485	8074	5216
486	8092	5201
487	8108	5184
488	8128	5169
489	8150	5156
490	8171	5142
491	8190	5127
492	8205	5109
493	8218	5090
494	8234	5073
495	8249	5056
496	8264	5038
497	8281	5022
498	8299	5006
499	8315	4989
500	8331	4972
501	8349	4956
502	8368	4941
503	8385	4924
504	8402	4908
505	8420	4892
506	8435	4875
507	8459	4862
508	8475	4845
509	8493	4829
510	8509	4812
511	8525	4795
512	8552	4784
513	8572	4769
514	8591	4754
515	8606	4736
516	8619	4718
517	8637	4702
518	8656	4686
519	8675	4671
520	8693	4655
521	8710	4638
522	8724	4620
523	8741	4604
524	8755	4586
525	8773	4570
526	8791	4554
527	8806	4536
528	8824	4520
529	8837	4502
530	8859	4488
531	8879	4472
532	8894	4455
533	8909	4437
534	8927	4422
535	8945	4406
536	8960	4388
537	8974	4370
538	8987	4351
539	9001	4333
540	9019	4317
541	9034	4300
542	9053	4284
543	9075	4270
544	9092	4254
545	9109	4237
546	9124	4220
547	9141	4203
548	9162	4189
549	9181	4173
550	9197	4156
551	9213	4139
552	9227	4121
553	9249	4107
554	9265	4090
555	9279	4072
556	9294	4054
557	9309	4037
558	9325	4020
559	9345	4005
560	9363	3989
561	9382	3973
562	9400	3957
563	9416	3940
564	9430	3922
565	9446	3905
566	9463	3888
567	9479	3871
568	9496	3855
569	9513	3838
570	9530	3822
571	9547	3805
572	9564	3789
573	9580	3771
574	9597	3755
575	9615	3739
576	9629	3721
577	9645	3704
578	9658	3686
579	9677	3670
580	9695	3654
581	9715	3639
582	9728	3621
583	9745	3604
584	9766	3589
585	9783	3572
586	9801	3556
587	9816	3539
588	9834	3523
589	9852	3506
590	9869	3490
591	9886	3473
592	9900	3455
593	9915	3438
594	9928	3420
595	9944	3403
596	9962	3387
597	9977	3370
598	9991	3352
599	10006	3335
600	10024	3319
601	10041	3302
602	10056	3285
603	10074	3269
604	10092	3252
605	10105	3235
606	10121	3218
607	10141	3202
608	10155	3185
609	10168	3167
610	10188	3151
611	10202	3134
612	10218	3117
613	10234	3100
614	10251	3083
615	10264	3065
616	10278	3048
617	10295	3032
618	10311	3015
619	10327	2998
620	10340	2980
621	10354	2963
622	10372	2946
623	10388	2930
624	10407	2914
625	10425	2897
626	10442	2881
627	10464	2866
628	10485	2850
629	10505	2834
630	10520	2817
631	10538	2801
632	10552	2784
633	10570	2767
634	10586	2750
635	10601	2733
636	10620	2717
637	10635	2700
638	10649	2683
639	10664	2666
640	10678	2648
641	10693	2631
642	10708	2614
643	10727	2598
644	10745	2582
645	10761	2565
646	10778	2548
647	10793	2531
648	10808	2514
649	10822	2497
650	10837	2480
651	10855	2464
652	10871	2447
653	10888	2430
654	10908	2414
655	10924	2397
656	10939	2381
657	10956	2364
658	10973	2347
659	10990	2331
660	11007	2314
661	11021	2297
662	11039	2281
663	11055	2264
664	11070	2247
