iter	MultiRMSE
0	0.4386140395
1	0.4202613743
2	0.4029104522
3	0.3870646397
4	0.3719348609
5	0.3578998155
6	0.3442285335
7	0.3318061415
8	0.3200863491
9	0.3090480407
10	0.2986807532
11	0.2889019871
12	0.2798085384
13	0.2710614859
14	0.2627997437
15	0.2551603058
16	0.2479624845
17	0.2411128766
18	0.2346381323
19	0.2287180006
20	0.2230839583
21	0.2178823884
22	0.2129852355
23	0.2080662117
24	0.2035949508
25	0.1994531538
26	0.1954678121
27	0.1915863556
28	0.1880618939
29	0.1847772721
30	0.1818423395
31	0.1787798994
32	0.17580624
33	0.1733670099
34	0.1707022574
35	0.1683450299
36	0.1660464762
37	0.1640815909
38	0.1620330222
39	0.1600381532
40	0.1583471905
41	0.1564246314
42	0.1549648543
43	0.1535185672
44	0.1517903768
45	0.1502756788
46	0.1488544168
47	0.1473659777
48	0.146204319
49	0.1450107047
50	0.1435371214
51	0.1422460938
52	0.1413046488
53	0.140206611
54	0.139350944
55	0.1384367075
56	0.1375506588
57	0.1366263837
58	0.1355958771
59	0.1347005954
60	0.1338012418
61	0.1331523572
62	0.1322809414
63	0.1314867612
64	0.1307593367
65	0.1300006798
66	0.1292794024
67	0.1284271504
68	0.1276869409
69	0.1270838833
70	0.1264164195
71	0.1257583006
72	0.1250470275
73	0.1244473817
74	0.1239666877
75	0.1231619546
76	0.122472194
77	0.1219437011
78	0.1213729665
79	0.1207210335
80	0.1201742727
81	0.1197203151
82	0.1192042383
83	0.1187323301
84	0.1182568434
85	0.1173936834
86	0.1169352012
87	0.1164482457
88	0.1163972432
89	0.1158645091
90	0.1153746632
91	0.1153745469
92	0.1148251575
93	0.1143836699
94	0.1137921808
95	0.1133265674
96	0.1128138959
97	0.1124337347
98	0.1120238996
99	0.1116679147
100	0.1113375377
101	0.1109436005
102	0.11055175
103	0.1101591947
104	0.1096934436
105	0.1093477352
106	0.1089958857
107	0.1085894642
108	0.1081867925
109	0.1077789079
110	0.1074061329
111	0.1070729788
112	0.1067165142
113	0.1063336135
114	0.1059329582
115	0.1056137081
116	0.1051766473
117	0.1049238812
118	0.1046553126
119	0.1046552846
120	0.1043136549
121	0.1040700214
122	0.1040699932
123	0.1037007396
124	0.1032028514
125	0.1028029034
126	0.1025354102
127	0.1022297492
128	0.1018937112
129	0.1016766483
130	0.1013607429
131	0.1010838862
132	0.1008566638
133	0.1005260036
134	0.1005259786
135	0.09999478889
136	0.09970429642
137	0.0994156637
138	0.09893582141
139	0.09870044157
140	0.09844693905
141	0.09809156002
142	0.09788487274
143	0.09758868866
144	0.09723603067
145	0.09686732075
146	0.09662522672
147	0.0963407392
148	0.09605519953
149	0.09571648441
150	0.09546770708
151	0.09525585506
152	0.09490894466
153	0.09466941423
154	0.09443555213
155	0.09417167401
156	0.09387108839
157	0.09367693066
158	0.09340688178
159	0.09309872732
160	0.09287169048
161	0.09254955062
162	0.09237931076
163	0.09212663914
164	0.09188069091
165	0.09167917981
166	0.0914629275
167	0.09129188803
168	0.09109257839
169	0.09086274458
170	0.09065404822
171	0.09027393697
172	0.09007817676
173	0.08983767152
174	0.08949275582
175	0.08922803299
176	0.0890968548
177	0.08873088197
178	0.08849327481
179	0.08817377111
180	0.0879354313
181	0.08782852444
182	0.08754274533
183	0.08732618707
184	0.08712347157
185	0.08692502658
186	0.08659743653
187	0.08639545306
188	0.08619247559
189	0.08601335035
190	0.08588348389
191	0.08572692161
192	0.08560302961
193	0.08541680558
194	0.08527075931
195	0.08512524591
196	0.08494059148
197	0.0847311095
198	0.08459457953
199	0.08439509336
200	0.0842081007
201	0.0840062389
202	0.08380696632
203	0.08356272181
204	0.08340430499
205	0.08324518363
206	0.08305664489
207	0.08282183591
208	0.08269665762
209	0.08254385778
210	0.08240307281
211	0.08227605179
212	0.08211123498
213	0.08190521934
214	0.08170890504
215	0.08154310907
216	0.08137852928
217	0.08121560686
218	0.08095165012
219	0.08074991423
220	0.08064402158
221	0.08044286985
222	0.08023350354
223	0.0801016573
224	0.07993007189
225	0.07976812938
226	0.07954197649
227	0.07930300722
228	0.07915437597
229	0.07887621105
230	0.078630634
231	0.07850476723
232	0.07833277072
233	0.07808262427
234	0.07793864568
235	0.07780085397
236	0.07762461515
237	0.07751149329
238	0.07735984297
239	0.07715717708
240	0.07699826262
241	0.07690608646
242	0.07673211354
243	0.07658426525
244	0.07646158233
245	0.07624087668
246	0.07611386844
247	0.0758797737
248	0.0757232411
249	0.07560770442
250	0.07548496791
251	0.07538312739
252	0.07524662583
253	0.0751161386
254	0.07499072392
255	0.0748793056
256	0.07473488862
257	0.07458418912
258	0.07441031715
259	0.07405426075
260	0.07394754598
261	0.07381803517
262	0.07368863257
263	0.07356730956
264	0.07343238473
265	0.07328542266
266	0.07310906433
267	0.07291451565
268	0.07270905514
269	0.07254709205
270	0.07243505049
271	0.07230314957
272	0.07219420951
273	0.07205497318
274	0.07184395475
275	0.07169764458
276	0.07153852474
277	0.0712154405
278	0.07110748541
279	0.07098034741
280	0.0708819493
281	0.07076288546
282	0.07047153425
283	0.07036348992
284	0.0702497569
285	0.07013877269
286	0.07004412061
287	0.06993692128
288	0.06983255453
289	0.06973904454
290	0.06964071442
291	0.06945736065
292	0.06932427136
293	0.06920508218
294	0.06911584517
295	0.06899988549
296	0.06884376347
297	0.06874709353
298	0.06861879732
299	0.06853298007
300	0.06840932227
301	0.0682987864
302	0.06810703236
303	0.0679749891
304	0.06785266645
305	0.06776377458
306	0.06763000996
307	0.06748189136
308	0.06741192545
309	0.0673262706
310	0.06720910171
311	0.06709450383
312	0.06701243656
313	0.06682038065
314	0.06671515581
315	0.06662820864
316	0.06653513426
317	0.06646354382
318	0.06621415879
319	0.06606431652
320	0.06596531879
321	0.06579475916
322	0.06569477745
323	0.06557279057
324	0.06542230315
325	0.06532187335
326	0.06523547059
327	0.06511276815
328	0.0650154149
329	0.06488966246
330	0.06480411057
331	0.06471878908
332	0.06455111835
333	0.0644832704
334	0.06438435622
335	0.06428668281
336	0.06415297428
337	0.06402809259
338	0.06391331012
339	0.06382788539
340	0.06374897852
341	0.06354769727
342	0.06345408028
343	0.06336137087
344	0.06329116073
345	0.06316918667
346	0.06310878581
347	0.0629998784
348	0.06290093868
349	0.06277942574
350	0.06264296209
351	0.06255600377
352	0.06246166931
353	0.0623689911
354	0.06228785905
355	0.06218981661
356	0.06210508058
357	0.06200087075
358	0.06189703434
359	0.06178642891
360	0.06167007563
361	0.06153459737
362	0.06143782763
363	0.06134560251
364	0.06125461486
365	0.06114961415
366	0.06104297276
367	0.06097388327
368	0.06092242867
369	0.06079061076
370	0.06066816875
371	0.06053492418
372	0.06041148837
373	0.06032205032
374	0.06017607668
375	0.06001531469
376	0.05994560053
377	0.05980918244
378	0.05972056656
379	0.05966308231
380	0.05956061377
381	0.0594651141
382	0.05937805088
383	0.05922484141
384	0.05912028312
385	0.05902757952
386	0.05896021705
387	0.05887533343
388	0.05877941967
389	0.05866638614
390	0.0584875723
391	0.05843382253
392	0.05833983402
393	0.0582256626
394	0.05809352853
395	0.05802675506
396	0.0579541839
397	0.0578433555
398	0.05777910226
399	0.05769730618
400	0.05760869981
401	0.05752756917
402	0.05747368238
403	0.05734287114
404	0.05721800477
405	0.0571089921
406	0.05700328263
407	0.05691846869
408	0.05680374048
409	0.05672359916
410	0.0566045434
411	0.05652956591
412	0.05645186246
413	0.05634651686
414	0.05627957662
415	0.05624865856
416	0.05611374159
417	0.05601121409
418	0.05584347244
419	0.05572001462
420	0.05554659716
421	0.05542469536
422	0.05535389564
423	0.05528685738
424	0.05520138177
425	0.0551086997
426	0.05501553558
427	0.05491889516
428	0.05488357882
429	0.05484589205
430	0.05478304037
431	0.05470100823
432	0.0545975947
433	0.05444560075
434	0.05436892275
435	0.05431210678
436	0.0541909922
437	0.05414077627
438	0.0540638308
439	0.05398329305
440	0.05394522613
441	0.0538700043
442	0.05380097675
443	0.05371171742
444	0.05361557247
445	0.05355161361
446	0.05345262273
447	0.05337010566
448	0.05331264418
449	0.05324643295
450	0.05316736487
451	0.05309208375
452	0.05302931663
453	0.05297331647
454	0.05293169249
455	0.05286873495
456	0.05281257445
457	0.05272554577
458	0.05265427912
459	0.05255916445
460	0.05251522555
461	0.05246048953
462	0.05241068026
463	0.05233144947
464	0.05226525717
465	0.05220500696
466	0.05212420626
467	0.05206309195
468	0.05200716231
469	0.05192497743
470	0.05184852545
471	0.05179668435
472	0.05173291712
473	0.0516707718
474	0.05158240419
