target,R2,MAE,RMSE
CETR,0.9725078425152663,0.025952562149318337,0.03669800859029511
GETR,0.9347381191294745,0.02218041372402359,0.03401597381446231
TSTA,0.8067496210175067,0.04525047110148417,0.12000302466415261
TSDA,0.8051747244059207,0.04690325682113371,0.12255158496206346
