target,R2,MAE,RMSE
CETR,0.9957339853099124,0.01000206572509415,0.014709496676255917
GETR,0.9878183793868311,0.009660091669799697,0.014950025829802234
TSTA,0.9379621079638399,0.037624373899563364,0.06855863541607042
TSDA,0.928235772886325,0.040852489999944785,0.07479673124488101
