,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
11,0.295608392,0.302835547,-0.067752099,-0.040320756,0.27122803870874945,0.25975890739875046,-0.07722366373749995,-0.06540045166499972
21,0.278554209,0.221889165,0.000489943,-0.007288934,0.27066736256249996,0.21634062193249984,0.003160562061250019,-0.011162697856250015
34,0.257583701,0.0,-0.022096114,-0.021270467,0.3029970446325013,0.053036919903749924,-0.06998806037624992,-0.07069572955125011
48,0.053460835,0.222581304,0.024169164,0.019693731,0.07738120036625036,0.15445885905875043,0.041468337727499874,0.031248584843750017
62,0.235214224,0.129368083,0.014151168,0.012045185,0.1976073333699998,0.11121359690999993,0.02282788160250003,0.008009894771249993
73,0.155829995,0.20171942,0.024596552,0.029726634,0.09189046162625022,0.1654278959299999,0.04225908242624978,0.032759130763750116
86,0.0,0.0,-0.016429,-0.018938757,0.02637887311374988,0.005081156458749999,-0.008803004020000029,-0.007987309727499954
111,0.0,0.0,-0.059558036,-0.070912812,0.010866124858750006,0.01085310351625,-0.06844426995624987,-0.06603002855999994
121,0.001325379,0.266461054,0.01444578,0.032049886,0.03597361072500003,0.23994289167874952,0.038971324021249906,0.03134355363624991
143,0.226803182,0.20602017,0.077370769,0.072010487,0.28664488470624944,0.25786702252000093,0.024820597687499984,0.018484809411249945
166,0.238153543,0.236907407,0.077299144,0.088173151,0.2015426683249999,0.23483099620875003,0.09606956362874973,0.07870303605625012
180,0.0,0.0,-0.081811306,-0.075499599,0.014494182520000011,0.012025113593749978,-0.05977518940000006,-0.054881690983750016
192,0.142282291,0.235967533,-0.007512805,-0.017390842,0.1332218304924997,0.22368592034624993,-0.014651115739999977,-0.011681507258749979
241,0.431270733,0.31295043,0.008738172,0.018405068,0.43082568311874864,0.3503985702249998,-0.02962676670499999,-0.03901158825624996
255,0.105794119,0.2283104,-0.119779858,-0.119944899,0.1260344443899995,0.19646467000750006,-0.14477594812250008,-0.1369372036337503
263,0.943652498,0.0,-0.015365768,-0.009337268,0.9893074104637509,0.008035092552500001,-0.027891703098749845,-0.03396754177375011
